"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971/1972","Alberta","2016A000248","Returning emigrants","Persons","249","units ","0","v29768563","10.10","4798","","","","0"
"1971/1972","Alberta","2016A000248","Net interprovincial migration","Persons","249","units ","0","v391142","10.5","4190","","","","0"
"1971/1972","Alberta","2016A000248","Net non-permanent residents","Persons","249","units ","0","v29768565","10.12","265","","","","0"
"1971/1972","Alberta","2016A000248","Residual deviation","Persons","249","units ","0","v53437081","10.8","-387","","","","0"
"1971/1972","British Columbia","2016A000259","Births","Persons","249","units ","0","v391071","11.1","34478","","","","0"
"1971/1972","British Columbia","2016A000259","Deaths","Persons","249","units ","0","v391086","11.2","17798","","","","0"
"1971/1972","British Columbia","2016A000259","Immigrants","Persons","249","units ","0","v391101","11.3","18402","","","","0"
"1971/1972","British Columbia","2016A000259","Emigrants","Persons","249","units ","0","v29768566","11.9","8531","","","","0"
"1971/1972","British Columbia","2016A000259","Returning emigrants","Persons","249","units ","0","v29768567","11.10","4955","","","","0"
"1971/1972","British Columbia","2016A000259","Net interprovincial migration","Persons","249","units ","0","v391130","11.5","28088","","","","0"
"1971/1972","British Columbia","2016A000259","Net non-permanent residents","Persons","249","units ","0","v29768569","11.12","285","","","","0"
"1971/1972","British Columbia","2016A000259","Residual deviation","Persons","249","units ","0","v53437082","11.8","-1737","","","","0"
"1971/1972","Yukon","2016A000260","Births","Persons","249","units ","0","v391072","12.1","447","","","","0"
"1971/1972","Yukon","2016A000260","Deaths","Persons","249","units ","0","v391087","12.2","104","","","","0"
"1971/1972","Yukon","2016A000260","Immigrants","Persons","249","units ","0","v391102","12.3","70","","","","0"
"1971/1972","Yukon","2016A000260","Emigrants","Persons","249","units ","0","v29768570","12.9","87","","","","0"
"1971/1972","Yukon","2016A000260","Returning emigrants","Persons","249","units ","0","v29768571","12.10","47","","","","0"
"1971/1972","Yukon","2016A000260","Net interprovincial migration","Persons","249","units ","0","v391131","12.5","686","","","","0"
"1971/1972","Yukon","2016A000260","Net non-permanent residents","Persons","249","units ","0","v29768573","12.12","5","","","","0"
"1971/1972","Yukon","2016A000260","Residual deviation","Persons","249","units ","0","v53437083","12.8","-88","","","","0"
"1971/1972","Northwest Territories including Nunavut","","Births","Persons","249","units ","0","v391073","13.1","1322","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Deaths","Persons","249","units ","0","v391088","13.2","260","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Immigrants","Persons","249","units ","0","v391103","13.3","115","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Emigrants","Persons","249","units ","0","v29768574","13.9","31","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Returning emigrants","Persons","249","units ","0","v29768575","13.10","19","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Net interprovincial migration","Persons","249","units ","0","v391132","13.5","1075","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Net non-permanent residents","Persons","249","units ","0","v29768577","13.12","-1","","","t","0"
"1971/1972","Northwest Territories including Nunavut","","Residual deviation","Persons","249","units ","0","v391177","13.8","-134","","","t","0"
"1972/1973","Canada","2016A000011124","Births","Persons","249","units ","0","v391069","1.1","345815","","","","0"
"1972/1973","Canada","2016A000011124","Deaths","Persons","249","units ","0","v391084","1.2","162618","","","","0"
"1972/1973","Canada","2016A000011124","Immigrants","Persons","249","units ","0","v391099","1.3","138526","","","","0"
"1972/1973","Canada","2016A000011124","Emigrants","Persons","249","units ","0","v29768526","1.9","63850","","","","0"
"1972/1973","Canada","2016A000011124","Returning emigrants","Persons","249","units ","0","v29768527","1.10","36117","","","","0"
"1972/1973","Canada","2016A000011124","Net non-permanent residents","Persons","249","units ","0","v29768529","1.12","7994","","","","0"
"1972/1973","Canada","2016A000011124","Residual deviation","Persons","249","units ","0","v53437072","1.8","28670","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Births","Persons","249","units ","0","v391070","2.1","12624","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Deaths","Persons","249","units ","0","v391085","2.2","3400","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units ","0","v391100","2.3","751","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units ","0","v29768530","2.9","427","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Returning emigrants","Persons","249","units ","0","v29768531","2.10","243","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Net interprovincial migration","Persons","249","units ","0","v391129","2.5","-777","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Net non-permanent residents","Persons","249","units ","0","v29768533","2.12","75","","","","0"
"1972/1973","Newfoundland and Labrador","2016A000210","Residual deviation","Persons","249","units ","0","v53437073","2.8","2652","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Births","Persons","249","units ","0","v391076","3.1","1897","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Deaths","Persons","249","units ","0","v391091","3.2","1013","","","","0"
"1972/1973","Prince Edward Island","2016A000211","Immigrants","Persons","249","units ","0","v391106","3.3","171","","","","0"
