"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.46","","","","2"
"1971-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.53","","","","2"
"1971-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.55","","","","2"
"1971-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.55","","","","2"
"1971-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.26","","","","2"
"1971-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.10","","","","2"
"1972-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.04","","","","2"
"1972-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.93","","","","2"
"1972-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","8.97","","","","2"
"1972-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.03","","","","2"
"1972-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.16","","","","2"
"1972-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.37","","","","2"
"1972-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.41","","","","2"
"1972-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.41","","","","2"
"1972-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.38","","","","2"
"1972-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.35","","","","2"
"1972-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.30","","","","2"
"1972-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.22","","","","2"
"1973-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.09","","","","2"
"1973-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.02","","","","2"
"1973-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.07","","","","2"
"1973-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.15","","","","2"
"1973-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.30","","","","2"
"1973-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.52","","","","2"
"1973-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.71","","","","2"
"1973-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","9.91","","","","2"
"1973-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.13","","","","2"
"1973-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.13","","","","2"
"1973-11","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.08","","","","2"
"1973-12","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.02","","","","2"
"1974-01","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.02","","","","2"
"1974-02","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.01","","","","2"
"1974-03","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.04","","","","2"
"1974-04","Canada","2016A000011124","Percent","239","units ","0","v733833","1","10.70","","","","2"
"1974-05","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.26","","","","2"
"1974-06","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.37","","","","2"
"1974-07","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.60","","","","2"
"1974-08","Canada","2016A000011124","Percent","239","units ","0","v733833","1","11.85","","","","2"
"1974-09","Canada","2016A000011124","Percent","239","units ","0","v733833","1","12.05","","","","2"
"1974-10","Canada","2016A000011124","Percent","239","units ","0","v733833","1","12.05","","","","2"
